Indice	Comunidad	Población
1	Abruzzo	1311580
2	Basilicata	562869
3	Calabria	1947131	
4	Campania	5801692
5	Emilia-Romagna	4459477
6	Friuli Venezia Giulia	1215220
7	Lazio	5879082
8	Liguria	1550640
9	Lombardia	10060574
10	Marche	1525271
11	Molise	305617
12	P.A. Bolzano	533050
13	P.A. Trento	539226
14	Piemonte	4356406
15	Puglia	4029053
16	Sardegna	1639591
17	Sicilia	4999891
18	Toscana	3729641
19	Umbria	882015
20	Valle d'Aosta	125666
21	Veneto	4905854
